Strain Type,THC measured
Sativa,16.52793
Sativa,13.71213
Sativa,12.87807
Sativa,11.48882
Sativa,11.61032
Sativa,11.65468
Sativa,13.33669
Sativa,12.66957
Sativa,15.41629
Sativa,16.68735
Sativa,16.98411
Sativa,16.02771
Sativa,10.47948
Sativa,11.03936
Sativa,13.10719
Sativa,11.97292
Sativa,13.23904
Sativa,15.94241
Sativa,12.8844
Sativa,13.62467
Sativa,14.01654
Sativa,14.63741
Sativa,14.94816
Sativa,15.59013
Sativa,16.61717
Sativa,16.00701
Sativa,16.28056
Sativa,14.62499
Sativa,14.15312
Sativa,14.69547
Sativa,15.34685
Sativa,15.68819
Sativa,14.91633
Sativa,15.98159
Sativa,15.77992
Sativa,16.29176
Sativa,22.54375
Sativa,18.32026
Sativa,16.99263
Hybrid,15.78267
Hybrid,16.09804
Hybrid,15.39886
Hybrid,15.52311
Hybrid,15.89916
Hybrid,16.90008
Hybrid,16.91754
Hybrid,16.77292
Hybrid,16.41026
Hybrid,16.65653
Hybrid,16.95999
Hybrid,16.45245
Hybrid,16.55793
Hybrid,16.11255
Hybrid,14.22108
Hybrid,13.64287
Hybrid,15.10335
Hybrid,16.04941
Hybrid,15.2305
Hybrid,15.34296
Hybrid,14.4044
Hybrid,15.42772
Hybrid,17.9296
Hybrid,18.17833
Hybrid,18.5671
Hybrid,12.36896
Hybrid,11.94951
Hybrid,11.30749
Hybrid,10.84693
Hybrid,10.31057
Hybrid,10.24767
Hybrid,15.34735
Hybrid,14.06532
Hybrid,16.09956
Indica,12.64704
Indica,13.01693
Indica,18.20762
Indica,19.26065
Indica,18.84645
Indica,19.67159
Indica,17.59522
Indica,17.31888
Indica,21.0015
Indica,22.29269
Indica,19.62409
Indica,9.704809
Indica,11.36848
